epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,18054.4,0.28614,0.1495,0.00316,0.96309,0.97425,0.99253,0.89805,0.47587,0.29461,0.00759,0.000577782,0.000577782,0.000577782
68,18323,0.26788,0.14925,0.00294,0.97679,0.98583,0.9934,0.89888,0.47679,0.26887,0.0076,0.000561279,0.000561279,0.000561279
69,18592.8,0.2637,0.14491,0.00284,0.95245,0.97286,0.99115,0.89731,0.46498,0.31868,0.00734,0.000544776,0.000544776,0.000544776
70,18861.7,0.25873,0.1476,0.0029,0.97701,0.958,0.99187,0.89877,0.46385,0.2517,0.00732,0.000528272,0.000528272,0.000528272
71,19128.3,0.2725,0.15192,0.00291,0.95559,0.98058,0.99317,0.90802,0.47865,0.24042,0.00762,0.000511769,0.000511769,0.000511769
72,19394.5,0.27012,0.15047,0.00293,0.95627,0.98276,0.99164,0.90421,0.47103,0.27053,0.00747,0.000495266,0.000495266,0.000495266
73,19667.7,0.254,0.13987,0.00286,0.99099,0.97302,0.99225,0.90272,0.46511,0.28795,0.00738,0.000478762,0.000478762,0.000478762
74,19942.4,0.26087,0.14758,0.00279,0.99402,0.9555,0.99288,0.89849,0.46669,0.28916,0.00739,0.000462259,0.000462259,0.000462259
75,20211.7,0.26036,0.148,0.00284,0.95827,0.97571,0.98977,0.89465,0.46111,0.32712,0.00731,0.000445756,0.000445756,0.000445756
76,20481,0.24514,0.1374,0.00274,0.99294,0.96704,0.99306,0.90629,0.46305,0.30348,0.0074,0.000429253,0.000429253,0.000429253
77,20749.8,0.24558,0.13197,0.00269,0.99039,0.96158,0.99318,0.90073,0.4522,0.29203,0.00715,0.000412749,0.000412749,0.000412749
78,21017.6,0.25061,0.13866,0.00281,0.97686,0.96068,0.99267,0.907,0.46068,0.2743,0.00727,0.000396246,0.000396246,0.000396246
79,21283.9,0.24557,0.136,0.00273,0.98584,0.97017,0.9918,0.90492,0.45803,0.29168,0.00726,0.000379743,0.000379743,0.000379743
80,21551.3,0.2351,0.13151,0.0025,0.98572,0.96835,0.99372,0.9115,0.46053,0.24024,0.00726,0.000363239,0.000363239,0.000363239
81,21817.8,0.23468,0.12941,0.00261,0.99056,0.97995,0.99407,0.90695,0.46053,0.22683,0.00727,0.000346736,0.000346736,0.000346736
82,22085.9,0.2338,0.12742,0.00259,0.95929,0.98336,0.98989,0.9024,0.45919,0.24193,0.00723,0.000330233,0.000330233,0.000330233
83,22338.6,0.23099,0.13211,0.00249,0.95325,0.98837,0.99143,0.9107,0.46911,0.25974,0.00744,0.000313729,0.000313729,0.000313729
84,22588.7,0.23255,0.12888,0.00258,0.95389,0.98837,0.99199,0.9071,0.47101,0.26705,0.00745,0.000297226,0.000297226,0.000297226
85,22839.2,0.22573,0.12163,0.00249,0.94755,0.98437,0.99062,0.90832,0.4658,0.26698,0.00735,0.000280723,0.000280723,0.000280723
86,23089.6,0.22876,0.1249,0.00248,0.9547,0.97463,0.98997,0.90814,0.47065,0.26558,0.00743,0.00026422,0.00026422,0.00026422
87,23339.2,0.22845,0.12682,0.00251,0.95598,0.97594,0.99195,0.90321,0.46115,0.30634,0.00726,0.000247716,0.000247716,0.000247716
88,23589.3,0.22106,0.1261,0.00246,0.98015,0.98115,0.99213,0.90196,0.45999,0.31849,0.00727,0.000231213,0.000231213,0.000231213
89,23841.3,0.21963,0.12852,0.00238,0.98482,0.95754,0.99161,0.90106,0.45704,0.33418,0.00724,0.00021471,0.00021471,0.00021471
90,24090.2,0.22355,0.12552,0.0025,0.97241,0.97397,0.99238,0.9016,0.45333,0.32316,0.00717,0.000198206,0.000198206,0.000198206
